Name,Code,Category,Category_Code
서버 개발자,518/872,개발,518
웹 개발자,518/873,개발,518
프론트엔드 개발자,518/669,개발,518
자바 개발자,518/660,개발,518
안드로이드 개발자,518/677,개발,518
iOS 개발자,518/678,개발,518
파이썬 개발자,518/899,개발,518
데이터 엔지니어,518/655,개발,518
DevOps / 시스템 관리자,518/674,개발,518
Node.js 개발자,518/895,개발,518
"C,C++ 개발자",518/900,개발,518
머신러닝 엔지니어,518/1634,개발,518
"시스템,네트워크 관리자",518/665,개발,518
데이터 사이언티스트,518/1024,개발,518
개발 매니저,518/877,개발,518
서비스 기획자,507/565,"경영, 비즈니스",507
사업개발·기획자,507/564,"경영, 비즈니스",507
프로젝트 매니저,507/559,"경영, 비즈니스",507
전략 기획자,507/563,"경영, 비즈니스",507
운영 매니저,507/554,"경영, 비즈니스",507
데이터 분석가,507/656,"경영, 비즈니스",507
경영지원,507/552,"경영, 비즈니스",507
디지털 마케터,523/1030,"마케팅, 광고",523
마케터,523/710,"마케팅, 광고",523
마케팅 전략 기획자,523/719,"마케팅, 광고",523
콘텐츠 마케터,523/1635,"마케팅, 광고",523
브랜드 마케터,523/707,"마케팅, 광고",523
소셜 마케터,523/721,"마케팅, 광고",523
그로스 해커,523/717,"마케팅, 광고",523
UX 디자이너,511/599,디자인,511
"UI,GUI 디자이너",511/597,디자인,511
웹 디자이너,511/594,디자인,511
그래픽 디자이너,511/592,디자인,511
모바일 디자이너,511/595,디자인,511
제품 디자이너,511/603,디자인,511
BI/BX 디자이너,511/879,디자인,511
기업영업,530/1036,영업,530
기술영업,530/770,영업,530
영업 관리자,530/954,영업,530
외부영업,530/766,영업,530
주요고객사 담당자,530/768,영업,530
솔루션 컨설턴트,530/1035,영업,530
해외영업,530/955,영업,530
CS 매니저,510/1028,"CS, 리테일",510
MD,510/758,"CS, 리테일",510
CS 어드바이저,510/586,"CS, 리테일",510
리테일 MD,510/760,"CS, 리테일",510
CRM 전문가,510/901,"CS, 리테일",510
인바운드 텔레마케터,510/769,"CS, 리테일",510
매장점원,510/754,"CS, 리테일",510
콘텐츠 크리에이터,524/1046,미디어,524
영상 편집가,524/723,미디어,524
PD,524/727,미디어,524
에디터,524/725,미디어,524
비디오 제작,524/3351,미디어,524
작가,524/724,미디어,524
음향 엔지니어,524/957,미디어,524
인사담당,517/643,"인사, 교육",517
조직문화,517/649,"인사, 교육",517
리크루터,517/644,"인사, 교육",517
HRD,517/648,"인사, 교육",517
평가·보상,517/645,"인사, 교육",517
HRBP,517/1043,"인사, 교육",517
노무·노사,517/647,"인사, 교육",517
회계 담당자,508/1048,금융,508
재무 분석가,508/538,금융,508
회계담당,508/534,금융,508
IR,508/920,금융,508
공인회계사,508/542,금융,508
세무사,508/1047,금융,508
애널리스트,508/882,금융,508
전기기계 공학자,513/822,"엔지니어링, 설계",513
전자 엔지니어,513/823,"엔지니어링, 설계",513
전기 엔지니어,513/821,"엔지니어링, 설계",513
기계 엔지니어,513/843,"엔지니어링, 설계",513
제품 엔지니어,513/856,"엔지니어링, 설계",513
QA 엔지니어,513/859,"엔지니어링, 설계",513
제어 엔지니어,513/817,"엔지니어링, 설계",513
게임 제작,959,게임 제작,959
"의료, 제약, 바이오",515,"의료, 제약, 바이오",515
"제조, 생산",522,"제조, 생산",522
"물류, 무역",532,"물류, 무역",532
식·음료,10057,식·음료,10057
"법률, 법집행기관",521,"법률, 법집행기관",521
"건설, 시설",509,"건설, 시설",509
비영리,514,비영리,514
