,Name,Code
0,개발,/wdlist/518
1,서버 개발자,/wdlist/518/872
2,웹 개발자,/wdlist/518/873
3,프론트엔드 개발자,/wdlist/518/669
4,자바 개발자,/wdlist/518/660
5,안드로이드 개발자,/wdlist/518/677
6,iOS 개발자,/wdlist/518/678
7,파이썬 개발자,/wdlist/518/899
8,데이터 엔지니어,/wdlist/518/655
9,DevOps / 시스템 관리자,/wdlist/518/674
10,Node.js 개발자,/wdlist/518/895
11,"C,C++ 개발자",/wdlist/518/900
12,머신러닝 엔지니어,/wdlist/518/1634
13,"시스템,네트워크 관리자",/wdlist/518/665
14,데이터 사이언티스트,/wdlist/518/1024
15,개발 매니저,/wdlist/518/877
16,더보기,/wdlist/518
17,"경영, 비즈니스",/wdlist/507
18,서비스 기획자,/wdlist/507/565
19,사업개발·기획자,/wdlist/507/564
20,프로젝트 매니저,/wdlist/507/559
21,전략 기획자,/wdlist/507/563
22,운영 매니저,/wdlist/507/554
23,데이터 분석가,/wdlist/507/656
24,경영지원,/wdlist/507/552
25,더보기,/wdlist/507
26,"마케팅, 광고",/wdlist/523
27,디지털 마케터,/wdlist/523/1030
28,마케터,/wdlist/523/710
29,마케팅 전략 기획자,/wdlist/523/719
30,콘텐츠 마케터,/wdlist/523/1635
31,브랜드 마케터,/wdlist/523/707
32,소셜 마케터,/wdlist/523/721
33,그로스 해커,/wdlist/523/717
34,더보기,/wdlist/523
35,디자인,/wdlist/511
36,UX 디자이너,/wdlist/511/599
37,"UI,GUI 디자이너",/wdlist/511/597
38,웹 디자이너,/wdlist/511/594
39,그래픽 디자이너,/wdlist/511/592
40,모바일 디자이너,/wdlist/511/595
41,제품 디자이너,/wdlist/511/603
42,BI/BX 디자이너,/wdlist/511/879
43,더보기,/wdlist/511
44,영업,/wdlist/530
45,기업영업,/wdlist/530/1036
46,기술영업,/wdlist/530/770
47,영업 관리자,/wdlist/530/954
48,외부영업,/wdlist/530/766
49,주요고객사 담당자,/wdlist/530/768
50,솔루션 컨설턴트,/wdlist/530/1035
51,해외영업,/wdlist/530/955
52,더보기,/wdlist/530
53,"고객서비스, 리테일",/wdlist/510
54,CS 매니저,/wdlist/510/1028
55,MD,/wdlist/510/758
56,CS 어드바이저,/wdlist/510/586
57,리테일 MD,/wdlist/510/760
58,CRM 전문가,/wdlist/510/901
59,인바운드 텔레마케터,/wdlist/510/769
60,매장점원,/wdlist/510/754
61,더보기,/wdlist/510
62,미디어,/wdlist/524
63,콘텐츠 크리에이터,/wdlist/524/1046
64,영상 편집가,/wdlist/524/723
65,PD,/wdlist/524/727
66,에디터,/wdlist/524/725
67,비디오 제작,/wdlist/524/3351
68,작가,/wdlist/524/724
69,음향 엔지니어,/wdlist/524/957
70,더보기,/wdlist/524
71,"인사, 교육",/wdlist/517
72,인사담당,/wdlist/517/643
73,조직문화,/wdlist/517/649
74,리크루터,/wdlist/517/644
75,HRD,/wdlist/517/648
76,평가·보상,/wdlist/517/645
77,HRBP,/wdlist/517/1043
78,노무·노사,/wdlist/517/647
79,더보기,/wdlist/517
80,금융,/wdlist/508
81,회계 담당자,/wdlist/508/1048
82,재무 분석가,/wdlist/508/538
83,회계담당,/wdlist/508/534
84,IR,/wdlist/508/920
85,공인회계사,/wdlist/508/542
86,세무사,/wdlist/508/1047
87,애널리스트,/wdlist/508/882
88,더보기,/wdlist/508
89,"엔지니어링, 설계",/wdlist/513
90,전기기계 공학자,/wdlist/513/822
91,전자 엔지니어,/wdlist/513/823
92,전기 엔지니어,/wdlist/513/821
93,기계 엔지니어,/wdlist/513/843
94,제품 엔지니어,/wdlist/513/856
95,QA 엔지니어,/wdlist/513/859
96,제어 엔지니어,/wdlist/513/817
97,더보기,/wdlist/513
98,게임 제작,/wdlist/959
99,"의료, 제약, 바이오",/wdlist/515
100,"제조, 생산",/wdlist/522
101,"물류, 무역",/wdlist/532
102,식·음료,/wdlist/10057
103,"법률, 법집행기관",/wdlist/521
104,"건설, 시설",/wdlist/509
105,비영리,/wdlist/514
