Name,Code,WebCode
서버 개발자,872,1
웹 개발자,873,2
프론트엔드 개발자,669,3
자바 개발자,660,4
안드로이드 개발자,677,5
iOS 개발자,678,6
파이썬 개발자,899,7
데이터 엔지니어,655,8
DevOps / 시스템 관리자,674,9
Node.js 개발자,895,10
"C,C++ 개발자",900,11
머신러닝 엔지니어,1634,12
"시스템,네트워크 관리자",665,13
데이터 사이언티스트,1024,14
개발 매니저,877,15
서비스 기획자,565,16
사업개발·기획자,564,17
프로젝트 매니저,559,18
전략 기획자,563,19
운영 매니저,554,20
데이터 분석가,656,21
경영지원,552,22
디지털 마케터,1030,23
마케터,710,24
마케팅 전략 기획자,719,25
콘텐츠 마케터,1635,26
브랜드 마케터,707,27
소셜 마케터,721,28
그로스 해커,717,29
UX 디자이너,599,30
"UI,GUI 디자이너",597,31
웹 디자이너,594,32
그래픽 디자이너,592,33
모바일 디자이너,595,34
제품 디자이너,603,35
BI/BX 디자이너,879,36
기업영업,1036,37
기술영업,770,38
영업 관리자,954,39
외부영업,766,40
주요고객사 담당자,768,41
솔루션 컨설턴트,1035,42
해외영업,955,43
CS 매니저,1028,44
MD,758,45
CS 어드바이저,586,46
리테일 MD,760,47
CRM 전문가,901,48
인바운드 텔레마케터,769,49
매장점원,754,50
콘텐츠 크리에이터,1046,51
영상 편집가,723,52
PD,727,53
에디터,725,54
비디오 제작,3351,55
작가,724,56
음향 엔지니어,957,57
인사담당,643,58
조직문화,649,59
리크루터,644,60
HRD,648,61
평가·보상,645,62
HRBP,1043,63
노무·노사,647,64
회계 담당자,1048,65
재무 분석가,538,66
회계담당,534,67
IR,920,68
공인회계사,542,69
세무사,1047,70
애널리스트,882,71
전기기계 공학자,822,72
전자 엔지니어,823,73
전기 엔지니어,821,74
기계 엔지니어,843,75
제품 엔지니어,856,76
QA 엔지니어,859,77
제어 엔지니어,817,78
게임 제작,959,79
"의료, 제약, 바이오",515,80
"제조, 생산",522,81
"물류, 무역",532,82
식·음료,10057,83
"법률, 법집행기관",521,84
"건설, 시설",509,85
비영리,514,86
